"CampaignRepositoryContentID","IsDeleted","CampaignContentID","RepositoryContentName","Size","IsTrash","FullPath","CampaignContentTypeID","CampaignContentTypeIdentifier","AuditCreatedDate","AuditLastUpdatedDate"
"9292","False","3737","Teste WebConf","0","True","/","2020","Video::WebMeetingContent","17/03/2020 08:39:57","17/03/2020 11:28:58"
"9393","False","3838","Teste WebConf 2","0","False","/home/f/e/fernanda_silva_6","2020","Video::WebMeetingContent","18/03/2020 09:27:18","18/03/2020 16:34:37"
"9494","False","3939","TESTE DE VIDEOCONFERENCIA PARA ABERTURA DO CHAMADO","0","False","/Talent/TD ANALYTIC","2020","Video::WebMeetingContent","20/03/2020 09:13:59","20/03/2020 09:14:11"
"9595","False","4040","Teste formação dental","0","False","/home/f/e/fernanda_silva_6","2020","Video::WebMeetingContent","20/03/2020 15:24:59","20/03/2020 15:24:59"
"9696","False","4141","Dental II","0","False","/home/f/e/fernanda_silva_6","2020","Video::WebMeetingContent","24/03/2020 13:28:03","24/03/2020 13:28:03"
"9797","False","4242","Dental II","0","False","/home/f/e/fernanda_silva_6","2020","Video::WebMeetingContent","24/03/2020 13:28:05","24/03/2020 13:28:05"
"9898","False","7575","Telemedicina - Tele Consulta Agendada","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER","2021","ReactionSurvey::ReactionSurveyContent","22/04/2020 16:37:54","24/04/2020 19:37:39"
"9999","False","7676","AVALIAÇÃO DE REAÇÃO PARA PRESENCIAL/TEAMS/WEBEX - 01/09","0","False","/Performance de Valor/OPERACOES - Portal do Conhecimento/Modelo de Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","29/04/2020 14:56:26","02/09/2020 16:32:52"
"10100","False","4343","teste","0","False","/","2020","Video::WebMeetingContent","07/05/2020 15:35:41","07/05/2020 15:35:41"
"10201","False","4444","teste do webinar","0","False","/home/l/u/lucas_soares","2020","Video::WebMeetingContent","11/05/2020 13:57:09","12/05/2020 09:48:38"
"10302","False","7777","Pesquisa de Efetividade de Comunicação - Teste","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","22/05/2020 10:59:27","22/05/2020 10:59:27"
"10303","False","7778","Pesquisa de Efetividade de Comunicação MCO","0","False","/Performance de Valor/OPERACOES - Portal do Conhecimento/Pesquisa de efetividade Comunicacao MCO","2021","ReactionSurvey::ReactionSurveyContent","22/05/2020 14:44:54","26/05/2020 09:30:26"
"10403","False","7878","Pesquisa de efetividade Comunicação Medial Cost & Operations","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","22/05/2020 11:41:34","22/05/2020 13:04:02"
"10504","False","7979","Pacote Não Padronizado e Pacote Padronizado - Teste","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","27/05/2020 17:08:08","27/05/2020 17:08:08"
"10605","False","8080","Conhecimento Jurídico - Regulatório I - Turma 1","0","False","/home/k/a/katia_santos_4","2021","ReactionSurvey::ReactionSurveyContent","08/06/2020 15:45:45","08/06/2020 15:45:45"
"10706","False","4545","teste td analytics","0","False","/home/l/u/lucas_soares","2020","Video::WebMeetingContent","16/06/2020 17:08:46","16/06/2020 17:08:49"
"10807","False","8181","Avaliação de Reação Interação","0","False","/Talent/AMIL UHG/Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","29/06/2020 09:14:38","29/06/2020 09:14:38"
"10808","False","8182","Avaliação Plataforma Americas Telemedicina","0","False","/CARE DELIVERY/TREINAMENTO","2021","ReactionSurvey::ReactionSurveyContent","29/06/2020 14:58:30","29/06/2020 15:05:55"
"10908","False","8282","Avaliação Plataforma Americas Telemedicina","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","29/06/2020 14:40:47","29/06/2020 14:51:25"
"11009","False","8383","Avaliação de Reação","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/Videos Salesforce (Julean)","2021","ReactionSurvey::ReactionSurveyContent","15/07/2020 17:05:59","15/07/2020 17:05:59"
"11110","False","8484","Avaliação de Reação","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/Conteudos /Trilha de Aprendizagem - Gestor PJ CWB","2021","ReactionSurvey::ReactionSurveyContent","24/07/2020 11:09:52","24/07/2020 12:03:00"
"11211","False","8585","Avaliação de reação webinar","0","False","/Talent/Services","2021","ReactionSurvey::ReactionSurveyContent","29/07/2020 15:12:53","07/08/2020 15:58:56"
"11312","False","8686","Teste Marcela","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","05/08/2020 15:24:00","05/08/2020 15:24:00"
"11413","False","8787","REUNIÃO VIRTUAL SAE - 04/AGOSTO/2020 - H.SAMARITANO HIGIENOPOLIS","0","False","/home/g/i/gisele_ribeiro","2021","ReactionSurvey::ReactionSurveyContent","10/08/2020 16:02:56","10/08/2020 16:02:56"
"11514","False","8888","Avaliação de Reação Webinar BD","0","False","/home/m/a/mariane_lucia","2021","ReactionSurvey::ReactionSurveyContent","20/08/2020 19:08:11","20/08/2020 19:08:11"
"11515","False","8889","Avaliação de Reação Webinar BD","0","False","/home/m/a/mariane_lucia","2021","ReactionSurvey::ReactionSurveyContent","20/08/2020 19:08:13","20/08/2020 19:08:13"
